CIF,COD_ENTE1,COD_ENTE2,COD_ENTE3,COD_ENTE4,COD_ENTE5,COD_ENTE6,Entidad Local,Cif dependiente,COD_ENTE1_DEP,COD_ENTE2_DEP,COD_ENTE3_DEP,COD_ENTE4_DEP,COD_ENTE5_DEP,COD_ENTE6_DEP,DEPENDIENTE,SECTORIZACION,     Fecha sectorización,Participación mayoritaria
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,A92279603,01,29,070,A,P,005,"MIJAGUA, S.A.                                                         ",S. no Financieras,01/05/2015,S
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,P7907001G,01,29,070,A,V,001,P. Suelo y Vivienda                                                   ,AAPP,01/05/2015,
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,P2900040C,01,29,070,A,V,002,P. M. Deportes                                                        ,AAPP,01/05/2015,
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,P2900042I,01,29,070,A,V,003,Universidad Popular                                                   ,AAPP,01/05/2015,
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,B93183358,01,29,070,A,P,006,Mijas Servicios Complementarios S.L.                                  ,AAPP,01/05/2015,S
P2907200F,01,29,072,A,A,000,Mollina                                                               ,G29823275,01,00,044,N,N,000,Grupo de Acción y Desarrollo Rural de la Comarca de Antequera         , ,,
P2907300D,01,29,073,A,A,000,Monda                                                                 ,G92187004,01,00,042,N,N,000,Grupo Desarrollo Rural Sierra de las Nieves                           , ,,
P2907300D,01,29,073,A,A,000,Monda                                                                 ,B92861137,01,00,210,C,C,000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Alozaina y Otros        , ,,
P2907400B,01,29,074,A,A,000,Montejaque                                                            ,G29550803,01,00,041,N,N,000,Asoc. Centro de Desarrollo Rural Serranía de Ronda CEDER              , ,,
P2907400B,01,29,074,A,A,000,Montejaque                                                            ,P2900055A,01,00,220,C,C,000,C. Valle del Guadiaro                                                 , ,01/07/2014,
P2907500I,01,29,075,A,A,000,Nerja                                                                 ,P2900078C,01,00,277,C,C,000,C.Provinc.Prest.Serv.Prev.yExtinc.Incendios y Salvamento Oriental     , ,,
P2907600G,01,29,076,A,A,000,Ojén                                                                  ,G92187004,01,00,042,N,N,000,Grupo Desarrollo Rural Sierra de las Nieves                           , ,,
P2907600G,01,29,076,A,A,000,Ojén                                                                  ,B92861137,01,00,210,C,C,000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Alozaina y Otros        , ,,
P2907700E,01,29,077,A,A,000,Parauta                                                               ,G29550803,01,00,041,N,N,000,Asoc. Centro de Desarrollo Rural Serranía de Ronda CEDER              , ,,
P2907900A,01,29,079,A,A,000,Periana                                                               ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2907900A,01,29,079,A,A,000,Periana                                                               ,P2900049D,01,00,216,C,C,000,C. Creación Parque Maquinaria Caminos Rurales Zona de la Axarquia     , ,01/07/2014,
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,G29845112,01,00,045,N,N,000,Grupo de Desarrollo Rual valle del Guadalhorce                        , ,01/07/2014,
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,P2900048F,01,00,221,C,C,000,C. Maquinaria y Caminos Rurales Ronda-Guadalhorce-Antequera           , ,01/07/2014,
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,P2900078C,01,00,277,C,C,000,C.Provinc.Prest.Serv.Prev.yExtinc.Incendios y Salvamento Oriental     , ,,
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,P2900057G,01,29,080,A,O,001,P. Turismo                                                            ,AAPP,30/11/2007,
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,B29628294,01,29,080,A,P,001,"El Olivar de Pizarra, S.L. Promo. y Const.                            ", ,,S
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,A92457993,01,29,080,A,P,002,"Urbanizadora Pizarreña, S.A.                                          ", ,,S
P2908000I,01,29,080,A,A,000,Pizarra                                                               ,G29676251,01,29,080,A,V,001,P. M. Radio La Voz de Guadalhorce                                     ,AAPP,30/11/2007,
P2908100G,01,29,081,A,A,000,Pujerra                                                               ,G29550803,01,00,041,N,N,000,Asoc. Centro de Desarrollo Rural Serranía de Ronda CEDER              , ,,
P2908100G,01,29,081,A,A,000,Pujerra                                                               ,G92115880,01,00,215,C,C,000,C. Prom. y Desar. Rural del Alto Genal                                , ,01/07/2014,
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,A92152602,01,00,000,F,P,159,"E. Mixta Medio Ambiente Rincón V., S.A.                               ", ,,S
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,A29812773,01,29,082,A,P,001,Iniciativas M. Rincón Victoria                                        , ,,S
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,B29887890,01,29,082,A,P,002,"Onda Rincón, S.L.                                                     ", ,,S
